last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,01#115,01,일본,1,일본,9580,81,01#115,74,201806,2018,6,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,2895,29,02#141,23,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,966,10,03#107,6,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,0,0,03#123,7,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,4921,89,03#143,33,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,9090,86,03#137,59,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,1056,13,03#135,5,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,751,10,03#128,5,201806,2018,6,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,158,1,03#109,6,201806,2018,6,부정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,0,0,04#227,45,201806,2018,6,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#344,05,유럽,5,그루지야,175,3,05#344,1,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,1159,21,05#316,4,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#317,05,유럽,5,노르웨이,202,3,05#317,1,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,2,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,2200,26,05#331,33,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#305,05,유럽,5,영국,142,3,05#305,1,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,0,0,05#338,1,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,13,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#326,05,유럽,5,체코,596,10,05#326,2,201806,2018,6,부정기-유임여객-도착
,,,,,,,,05#343,05,유럽,5,크로아티아,753,14,05#343,4,201806,2018,6,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,3134,41,06#227_01,27,201806,2018,6,부정기-유임여객-도착
,,,,,,,,06#401,06,대양주,6,호주,0,0,06#401,1,201806,2018,6,부정기-유임여객-도착
,,,,,,,,07#114,07,기타,7,이스라엘,0,0,,,201806,2018,6,부정기-유임여객-도착
,,,,,,,,07#119,07,기타,7,쿠웨이트,0,0,07#119,1,201806,2018,6,부정기-유임여객-도착
,,,,,,,,07#118,07,기타,7,한국,0,0,,,201806,2018,6,부정기-유임여객-도착
,,,,,,,,,,전체 합계,0,,70001,761,총계,565,201807,2018,7,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,21286,186,01#115,153,201807,2018,7,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,9793,94,02#141,63,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,1693,15,03#107,13,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,589,6,03#120,4,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,183,2,03#122,2,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,21,0,03#123,5,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,5847,102,03#143,40,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#103,03,아시아,3,방글라데시,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,11519,121,03#137,80,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#132,03,아시아,3,싱가포르,0,0,03#132,1,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#110,03,아시아,3,인도,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,3315,38,03#135,15,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#127,03,아시아,3,파키스탄,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,1126,12,03#128,10,201807,2018,7,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,1783,13,03#109,15,201807,2018,7,부정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,131,2,04#227,40,201807,2018,7,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,1040,22,05#316,4,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#317,05,유럽,5,노르웨이,2003,33,05#317,10,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,4,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,5215,52,05#331,55,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#322,05,유럽,5,스위스,181,3,05#322,2,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,13,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#326,05,유럽,5,체코,229,4,05#326,1,201807,2018,7,부정기-유임여객-도착
,,,,,,,,05#136,05,유럽,5,튀르키예,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,4047,55,06#227_01,35,201807,2018,7,부정기-유임여객-도착
,,,,,,,,07#102,07,기타,7,바레인,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,07#144,07,기타,7,아랍에미레이트,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,07#114,07,기타,7,이스라엘,0,0,,,201807,2018,7,부정기-유임여객-도착
,,,,,,,,,,전체 합계,0,,130762,1492,총계,894,201808,2018,8,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,31061,285,01#115,188,201808,2018,8,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,15747,158,02#141,108,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,3303,32,03#107,21,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,1104,12,03#120,8,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,741,5,03#122,8,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,4800,52,03#123,37,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,17641,295,03#143,91,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,20958,223,03#137,130,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#132,03,아시아,3,싱가포르,0,0,03#132,1,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,1280,20,03#111,6,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,0,2,03#142,1,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,7056,77,03#135,37,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,6068,69,03#128,40,201808,2018,8,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,3254,28,03#109,23,201808,2018,8,부정기-유임여객-도착
