destination,type,total_price,departure_carrier,departure_flight_time,departure_stop,departure_add_day,departure_baggage,departure_dep_at,departure_arr_at,return_carrier,return_flight_time,return_stop,return_add_day,return_baggage,return_dep_at,return_arr_at
싱가포르,One-way,1071600,중국남방항공,PT16H55M,1,1,1 QUANTITY,2026-03-22T10:55:00,2026-03-23T02:50:00,,,,,,,
싱가포르,One-way,1071600,중국남방항공,PT21H10M,1,1,1 QUANTITY,2026-03-22T16:15:00,2026-03-23T12:25:00,,,,,,,
싱가포르,One-way,2062000,중국국제항공,PT12H5M,1,1,2 QUANTITY,2026-03-22T14:55:00,2026-03-23T02:00:00,,,,,,,
싱가포르,One-way,1068000,중국산동항공,PT16H20M,1,1,1 QUANTITY,2026-03-22T08:45:00,2026-03-23T00:05:00,,,,,,,
싱가포르,One-way,2883800,중국국제항공,PT11H45M,1,0,2 QUANTITY,2026-03-22T11:10:00,2026-03-22T21:55:00,,,,,,,
싱가포르,One-way,1900900,일본항공,PT19H30M,1,1,2 QUANTITY,2026-03-22T12:05:00,2026-03-23T06:35:00,,,,,,,
싱가포르,One-way,3374200,중국동방항공,PT14H15M,1,0,2 QUANTITY,2026-03-22T08:55:00,2026-03-22T22:10:00,,,,,,,
싱가포르,One-way,1366200,중국국제항공,PT13H20M,1,1,1 QUANTITY,2026-03-22T11:45:00,2026-03-23T00:05:00,,,,,,,
싱가포르,One-way,1661500,중국국제항공,PT14H15M,1,0,1 QUANTITY,2026-03-22T08:40:00,2026-03-22T21:55:00,,,,,,,
싱가포르,One-way,1900900,일본항공,PT30H20M,1,1,2 QUANTITY,2026-03-22T12:05:00,2026-03-23T17:25:00,,,,,,,
싱가포르,One-way,1366200,중국국제항공,PT16H20M,1,1,1 QUANTITY,2026-03-22T08:45:00,2026-03-23T00:05:00,,,,,,,
싱가포르,One-way,2883800,중국국제항공,PT20H40M,1,1,2 QUANTITY,2026-03-22T11:10:00,2026-03-23T06:50:00,,,,,,,
싱가포르,One-way,2883800,중국국제항공,PT18H40M,1,1,2 QUANTITY,2026-03-22T13:10:00,2026-03-23T06:50:00,,,,,,,
싱가포르,One-way,2883800,중국국제항공,PT14H,1,1,2 QUANTITY,2026-03-22T17:50:00,2026-03-23T06:50:00,,,,,,,
싱가포르,One-way,2883800,중국국제항공,PT17H10M,1,1,2 QUANTITY,2026-03-22T14:40:00,2026-03-23T06:50:00,,,,,,,
싱가포르,One-way,2883800,중국국제항공,PT17H25M,1,1,2 QUANTITY,2026-03-22T14:25:00,2026-03-23T06:50:00,,,,,,,
싱가포르,Round-trip,893900,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT10H,1.0,0.0,25 WEIGHT_KG,2026-03-25T09:55:00,2026-03-25T20:55:00
싱가포르,Round-trip,893900,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT12H5M,1.0,1.0,25 WEIGHT_KG,2026-03-25T17:25:00,2026-03-26T06:30:00
싱가포르,Round-trip,893900,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT10H,1.0,1.0,25 WEIGHT_KG,2026-03-25T19:30:00,2026-03-26T06:30:00
싱가포르,Round-trip,893900,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT10H,1.0,0.0,25 WEIGHT_KG,2026-03-25T09:55:00,2026-03-25T20:55:00
싱가포르,Round-trip,893900,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT12H5M,1.0,1.0,25 WEIGHT_KG,2026-03-25T17:25:00,2026-03-26T06:30:00
싱가포르,Round-trip,893900,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT10H,1.0,1.0,25 WEIGHT_KG,2026-03-25T19:30:00,2026-03-26T06:30:00
싱가포르,Round-trip,902000,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT19H35M,1.0,1.0,25 WEIGHT_KG,2026-03-25T09:55:00,2026-03-26T06:30:00
싱가포르,Round-trip,902000,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT19H35M,1.0,1.0,25 WEIGHT_KG,2026-03-25T09:55:00,2026-03-26T06:30:00
싱가포르,Round-trip,913300,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT8H50M,1.0,0.0,25 WEIGHT_KG,2026-03-25T11:05:00,2026-03-25T20:55:00
싱가포르,Round-trip,913300,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT8H50M,1.0,0.0,25 WEIGHT_KG,2026-03-25T11:05:00,2026-03-25T20:55:00
싱가포르,Round-trip,935600,티웨이항공,PT6H55M,0,0,23 WEIGHT_KG,2026-03-22T15:30:00,2026-03-22T21:25:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,946100,티웨이항공,PT6H55M,0,0,23 WEIGHT_KG,2026-03-22T15:30:00,2026-03-22T21:25:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
싱가포르,Round-trip,946100,티웨이항공,PT6H55M,0,0,23 WEIGHT_KG,2026-03-22T15:30:00,2026-03-22T21:25:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,956200,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT13H55M,1.0,0.0,25 WEIGHT_KG,2026-03-25T06:00:00,2026-03-25T20:55:00
싱가포르,Round-trip,956200,말레이시아항공,PT11H40M,1,0,25 WEIGHT_KG,2026-03-22T11:05:00,2026-03-22T21:45:00,말레이시아항공,PT15H50M,1.0,1.0,25 WEIGHT_KG,2026-03-25T13:40:00,2026-03-26T06:30:00
싱가포르,Round-trip,956200,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT13H55M,1.0,0.0,25 WEIGHT_KG,2026-03-25T06:00:00,2026-03-25T20:55:00
싱가포르,Round-trip,956200,말레이시아항공,PT16H50M,1,0,25 WEIGHT_KG,2026-03-22T00:10:00,2026-03-22T16:00:00,말레이시아항공,PT15H50M,1.0,1.0,25 WEIGHT_KG,2026-03-25T13:40:00,2026-03-26T06:30:00
싱가포르,Round-trip,1006400,가루다항공,PT10H50M,1,0,30 WEIGHT_KG,2026-03-22T10:35:00,2026-03-22T20:25:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,1016900,가루다항공,PT10H50M,1,0,30 WEIGHT_KG,2026-03-22T10:35:00,2026-03-22T20:25:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
싱가포르,Round-trip,1016900,가루다항공,PT10H50M,1,0,30 WEIGHT_KG,2026-03-22T10:35:00,2026-03-22T20:25:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,1017700,제주항공,PT6H50M,0,1,15 WEIGHT_KG,2026-03-22T18:20:00,2026-03-23T00:10:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,1028200,제주항공,PT6H50M,0,1,15 WEIGHT_KG,2026-03-22T18:20:00,2026-03-23T00:10:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
싱가포르,Round-trip,1028200,제주항공,PT6H50M,0,1,15 WEIGHT_KG,2026-03-22T18:20:00,2026-03-23T00:10:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,1039800,필리핀항공,PT17H25M,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T13:00:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,1045300,제주항공,PT6H50M,0,1,15 WEIGHT_KG,2026-03-22T18:20:00,2026-03-23T00:10:00,제주항공,PT6H30M,0.0,0.0,15 WEIGHT_KG,2026-03-25T01:10:00,2026-03-25T08:40:00
싱가포르,Round-trip,1050300,필리핀항공,PT17H25M,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T13:00:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
싱가포르,Round-trip,1050300,필리핀항공,PT17H25M,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T13:00:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,1101600,필리핀항공,PT14H,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T09:35:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,1112100,필리핀항공,PT14H,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T09:35:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
싱가포르,Round-trip,1112100,필리핀항공,PT14H,1,1,20 WEIGHT_KG,2026-03-22T20:35:00,2026-03-23T09:35:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,1182000,티웨이항공,PT6H55M,0,0,23 WEIGHT_KG,2026-03-22T15:30:00,2026-03-22T21:25:00,스쿠트항공,PT8H15M,1.0,0.0,30 WEIGHT_KG,2026-03-25T12:30:00,2026-03-25T21:45:00
싱가포르,Round-trip,1187700,스쿠트항공,PT8H25M,1,1,30 WEIGHT_KG,2026-03-22T23:00:00,2026-03-23T06:25:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,1198200,스쿠트항공,PT8H25M,1,1,30 WEIGHT_KG,2026-03-22T23:00:00,2026-03-23T06:25:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
