destination,title,category,location,review_score,review_count,discount_price
싱가포르,머큐어 싱가포르 온 스티븐스,호텔 ・ 4성급,탕린 싱가포르 ・ 싱가포르,4.2,460,340708
싱가포르,힐튼 싱가포르 오차드,호텔 ・ 5성급,싱가포르 ・ 싱가포르,4.6,150,971090
싱가포르,큐브 부티크 캡슐 호텔 @ 캄퐁 글램,캡슐호텔 ・ 2성급,아랍 스트리트 디스트릭트 싱가포르 ・ 싱가포르,4.4,245,228684
싱가포르,바이브 호텔 싱가포르 오차드,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.4,284,404780
싱가포르,YWCA 포트 캐닝,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.5,78,394764
싱가포르,호텔 그랜드 센트럴,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.1,167,310722
싱가포르,파크 레지스 바이 프린스 싱가포르,호텔 ・ 4성급,클락키 싱가포르 ・ 싱가포르,4.4,121,513902
싱가포르,오차드 랑데부 호텔 바이 파 이스트 호스피탈리티,호텔 ・ 4성급,탕린 싱가포르 ・ 싱가포르,4.3,250,437796
싱가포르,오차드 호텔 싱가포르,호텔 ・ 4성급,탕린 싱가포르 ・ 싱가포르,4.2,135,423960
싱가포르,호텔 챈슬러@오차드,호텔 ・ 3성급,싱가포르 ・ 싱가포르,4.0,221,320636
싱가포르,보코 오차드 싱가포르 – 언 IHG 호텔 바이 IHG,호텔 ・ 5성급,싱가포르 ・ 싱가포르,4.5,112,747910
싱가포르,호텔 벤쿨렌 @ 홍콩 스트리트,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.0,174,421464
싱가포르,콩코드 호텔 싱가포르,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.3,276,491028
싱가포르,홀리데이 인 익스프레스 싱가포르 오차드 로드 바이 IHG,호텔 ・ 3성급,에메랄드 힐 싱가포르 ・ 싱가포르,4.6,98,566943
싱가포르,노보텔 싱가포르 온 스티븐스,호텔 ・ 4성급,탕린 싱가포르 ・ 싱가포르,4.2,116,455321
싱가포르,홀리데이 인 익스프레스 싱가포르 클락키 바이 IHG,호텔 ・ 3성급,클락키 싱가포르 ・ 싱가포르,4.4,58,445552
싱가포르,인 앳 템플 스트리트  호텔,호텔 ・ 3성급,클락키 싱가포르 아우트럼 ・ 싱가포르,3.6,96,253672
싱가포르,메도우 호스텔,캡슐호텔 ・ 1성급,칼랑 싱가포르 ・ 싱가포르,4.0,34,180514
싱가포르,리버 시티 인,호스텔 ・ 1성급,싱가포르 ・ 싱가포르,4.1,8,134870
싱가포르,프래그런스 호텔 - 로즈,호텔 ・ 2성급,싱가포르 ・ 싱가포르,4.2,107,173144
싱가포르,하이 호텔 닷,호텔 ・ 3성급,싱가포르 ・ 싱가포르,3.3,106,205818
싱가포르,하이 호텔 닷,호텔 ・ 3성급,싱가포르 ・ 싱가포르,3.3,106,205818
싱가포르,코모 메트로폴리탄 싱가포르,호텔 ・ 5성급,싱가포르 ・ 싱가포르,4.8,2,746159
싱가포르,캐노피 코브 코리빙,게스트하우스 ・ 3성급,싱가포르,0,0,405372
싱가포르,하이 호텔 닷,호텔 ・ 3성급,싱가포르 ・ 싱가포르,3.3,106,205818
싱가포르,코모 메트로폴리탄 싱가포르,호텔 ・ 5성급,싱가포르 ・ 싱가포르,4.8,2,746159
싱가포르,캐노피 코브 코리빙,게스트하우스 ・ 3성급,싱가포르,0,0,405372
싱가포르,호텔 81 럭키 (SG Clean 인증 및 스테이케이션 승인),호텔 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,4.0,32,218741
싱가포르,힙스터시티 호스텔,캡슐호텔 ・ 2성급,중심 비즈니스 지구 싱가포르 ・ 싱가포르,4.2,22,134613
싱가포르,클래식 호텔,호텔 ・ 3성급,싱가포르 ・ 싱가포르,4.0,1,251003
싱가포르,헤리티지 컬렉션 온 클락 키 - 모바일 앱 체크인,호텔 ・ 3성급,싱가포르 ・ 싱가포르,4.7,9,416393
싱가포르,호텔 81 차이나타운 (SG Clean 인증 및 스테이케이션 승인),호텔 ・ 2성급,싱가포르 아우트럼 ・ 싱가포르,3.6,3,385781
싱가포르,아리아나 호텔,호텔 ・ 2성급,싱가포르 ・ 싱가포르,2.1,2,161155
싱가포르,암라이즈 호텔,호텔 ・ 3성급,싱가포르 ・ 싱가포르,2.7,63,189595
싱가포르,킨 스튜디오,호텔 ・ 3성급,덕스턴 힐 싱가포르 아우트럼 ・ 싱가포르,4.0,9,321407
싱가포르,아카디아 호텔,호텔 ・ 4성급,칼랑 싱가포르 ・ 싱가포르,3.6,19,305210
싱가포르,이비스 버짓 싱가포르 아메트린,호텔 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,4.3,15,245233
싱가포르,호텔 81 럭키 (SG Clean 인증 및 스테이케이션 승인),호텔 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,4.0,32,218741
싱가포르,힙스터시티 호스텔,캡슐호텔 ・ 2성급,중심 비즈니스 지구 싱가포르 ・ 싱가포르,4.2,22,134613
싱가포르,클래식 호텔,호텔 ・ 3성급,싱가포르 ・ 싱가포르,4.0,1,251003
싱가포르,헤리티지 컬렉션 온 클락 키 - 모바일 앱 체크인,호텔 ・ 3성급,싱가포르 ・ 싱가포르,4.7,9,416393
싱가포르,호텔 81 차이나타운 (SG Clean 인증 및 스테이케이션 승인),호텔 ・ 2성급,싱가포르 아우트럼 ・ 싱가포르,3.6,3,385781
싱가포르,아리아나 호텔,호텔 ・ 2성급,싱가포르 ・ 싱가포르,2.1,2,161155
싱가포르,암라이즈 호텔,호텔 ・ 3성급,싱가포르 ・ 싱가포르,2.7,63,198870
싱가포르,킨 스튜디오,호텔 ・ 3성급,덕스턴 힐 싱가포르 아우트럼 ・ 싱가포르,4.0,9,321407
싱가포르,아카디아 호텔,호텔 ・ 4성급,칼랑 싱가포르 ・ 싱가포르,3.6,19,305210
싱가포르,이비스 버짓 싱가포르 아메트린,호텔 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,4.3,15,251304
싱가포르,럭색 인 템플 스트리트,호스텔 ・ 1성급,칼랑 싱가포르 ・ 싱가포르,3.7,19,547819
싱가포르,파고다 헤리티지 컬렉션 - 모바일 앱 체크인,호텔,싱가포르,4.9,2,413189
싱가포르,JH 호텔,호텔 ・ 1성급,싱가포르 ・ 싱가포르,4.5,9,414782
싱가포르,아 호텔 데스커,호텔 ・ 2성급,싱가포르 ・ 싱가포르,0,0,225241
싱가포르,글램핑 카키 - 넓은 벨텐트,방갈로 ・ 2성급,싱가포르,0,0,702635
싱가포르,인터내셔널 서비스 아파트먼츠 앳 레이번 파크,아파트 ・ 3성급,싱가포르 ・ 싱가포르,1.2,2,297458
싱가포르,리차지 스튜디오 아파트먼트 & 스위트,아파트 ・ 2성급,싱가포르,2.2,1,408606
싱가포르,콜리우 호텔 파시르 판장,호텔 ・ 3성급,싱가포르 ・ 싱가포르,0,0,350137
싱가포르,더 어메이징 인,여관 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,0,0,295120
싱가포르,엘 호텔 @ 51 데스커,호텔 ・ 2성급,싱가포르,3.2,2,255006
싱가포르,파고다 헤리티지 컬렉션 - 모바일 앱 체크인,호텔,싱가포르,4.9,2,413189
싱가포르,JH 호텔,호텔 ・ 1성급,싱가포르 ・ 싱가포르,4.5,9,414782
싱가포르,아 호텔 데스커,호텔 ・ 2성급,싱가포르 ・ 싱가포르,0,0,225241
싱가포르,글램핑 카키 - 넓은 벨텐트,방갈로 ・ 2성급,싱가포르,0,0,702635
싱가포르,인터내셔널 서비스 아파트먼츠 앳 레이번 파크,아파트 ・ 3성급,싱가포르 ・ 싱가포르,1.2,2,297458
싱가포르,리차지 스튜디오 아파트먼트 & 스위트,아파트 ・ 2성급,싱가포르,2.2,1,408606
싱가포르,콜리우 호텔 파시르 판장,호텔 ・ 3성급,싱가포르 ・ 싱가포르,0,0,279466
싱가포르,더 어메이징 인,여관 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,0,0,301161
싱가포르,파고다 헤리티지 컬렉션 - 모바일 앱 체크인,호텔,싱가포르,4.9,2,413189
싱가포르,JH 호텔,호텔 ・ 1성급,싱가포르 ・ 싱가포르,4.5,9,414782
싱가포르,글램핑 카키 - 넓은 벨텐트,방갈로 ・ 2성급,싱가포르,0,0,702635
싱가포르,인터내셔널 서비스 아파트먼츠 앳 레이번 파크,아파트 ・ 3성급,싱가포르 ・ 싱가포르,1.2,2,297458
싱가포르,리차지 스튜디오 아파트먼트 & 스위트,아파트 ・ 2성급,싱가포르,2.2,1,408606
싱가포르,콜리우 호텔 파시르 판장,호텔 ・ 3성급,싱가포르 ・ 싱가포르,0,0,279466
싱가포르,더 어메이징 인,여관 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,0,0,301161
싱가포르,아 호텔 데스커,호텔 ・ 2성급,싱가포르 ・ 싱가포르,0,0,225241
싱가포르,아 호텔 데스커,호텔 ・ 2성급,싱가포르 ・ 싱가포르,0,0,225241
싱가포르,글램핑 카키 - 넓은 벨텐트,방갈로 ・ 2성급,싱가포르,0,0,702635
싱가포르,인터내셔널 서비스 아파트먼츠 앳 레이번 파크,아파트 ・ 3성급,싱가포르 ・ 싱가포르,1.2,2,297458
싱가포르,리차지 스튜디오 아파트먼트 & 스위트,아파트 ・ 2성급,싱가포르,2.2,1,408606
싱가포르,콜리우 호텔 파시르 판장,호텔 ・ 3성급,싱가포르 ・ 싱가포르,0,0,279466
싱가포르,더 어메이징 인,여관 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,0,0,301161
싱가포르,글램핑 카키 - 넓은 벨텐트,방갈로 ・ 2성급,싱가포르,0,0,702635
싱가포르,인터내셔널 서비스 아파트먼츠 앳 레이번 파크,아파트 ・ 3성급,싱가포르 ・ 싱가포르,1.2,2,297458
싱가포르,리차지 스튜디오 아파트먼트 & 스위트,아파트 ・ 2성급,싱가포르,2.2,1,408606
싱가포르,콜리우 호텔 파시르 판장,호텔 ・ 3성급,싱가포르 ・ 싱가포르,0,0,279466
싱가포르,더 어메이징 인,여관 ・ 2성급,홍등가 싱가포르 ・ 싱가포르,0,0,301161
