last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,05#306,05,유럽,5,핀란드,17,158,05#306,28,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#227_01,06,대양주,6,괌,2118,602,06#227_01,324,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#407,06,대양주,6,뉴질랜드,2424,157,06#407,28,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#227_00,06,대양주,6,사이판,5856,300,06#227_00,158,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#415,06,대양주,6,팔라우,1495,35,06#415,24,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#403,06,대양주,6,피지,1624,39,06#403,12,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#227_02,06,대양주,6,하와이,7066,491,06#227_02,144,201802,2018,2,정기-환승여객-출발
,,,,,,,,06#401,06,대양주,6,호주,6295,461,06#401,84,201802,2018,2,정기-환승여객-출발
,,,,,,,,07#144,07,기타,7,아랍에미레이트,848,465,07#144,88,201802,2018,2,정기-환승여객-출발
,,,,,,,,07#508,07,기타,7,에티오피아,54,52,07#508,16,201802,2018,2,정기-환승여객-출발
,,,,,,,,07#114,07,기타,7,이스라엘,535,41,07#114,12,201802,2018,2,정기-환승여객-출발
,,,,,,,,07#130,07,기타,7,카타르,116,170,07#130,48,201802,2018,2,정기-환승여객-출발
,,,,,,,,07#118,07,기타,7,한국,0,0,,,201802,2018,2,정기-환승여객-출발
,,,,,,,,,,전체 합계,0,,317669,46624,총계,19836,201803,2018,3,정기-환승여객-출발
,,,,,,,,01#115,01,일본,1,일본,59549,8840,01#115,5072,201803,2018,3,정기-환승여객-출발
,,,,,,,,02#141,02,중국,2,중국,31190,9013,02#141,4468,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,1504,81,03#125,17,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#107,03,아시아,3,대만,2854,2141,03#107,875,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,611,252,03#120,155,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,49,222,03#122,180,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,1221,1003,03#123,389,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,92,16,03#124,13,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,2608,267,03#143,71,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,906,112,03#106,31,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,19211,3586,03#137,1560,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,2,14,03#105,9,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,208,34,,,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,3542,874,03#132,281,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#110,03,아시아,3,인도,2892,207,03#110,82,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,3950,537,03#111,154,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#142,03,아시아,3,캄보디아,3267,320,03#142,141,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#135,03,아시아,3,태국,15348,2443,03#135,838,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#128,03,아시아,3,필리핀,32097,2928,03#128,1070,201803,2018,3,정기-환승여객-출발
,,,,,,,,03#109,03,아시아,3,홍콩,4388,2126,03#109,964,201803,2018,3,정기-환승여객-출발
,,,,,,,,04#219,04,미주,4,멕시코,147,62,04#219,31,201803,2018,3,정기-환승여객-출발
,,,,,,,,04#227,04,미주,4,미국,79965,4540,04#227,1176,201803,2018,3,정기-환승여객-출발
,,,,,,,,04#205,04,미주,4,브라질,0,0,04#205,2,201803,2018,3,정기-환승여객-출발
,,,,,,,,04#206,04,미주,4,캐나다,11314,926,04#206,117,201803,2018,3,정기-환승여객-출발
